"type","text","year_built","beds","baths","baths_full","baths_half","garage","lot_sqft","sqft","stories","lastSoldPrice","soldOn","listPrice","status"
"single_family","This beautifully rehabbed and well-maintained 4 bedrooms, 3 full bathrooms home in the Chatham community can be yours today! As you step into the home, on the first level, you'll be pleasantly greeted with an open floor plan with great functionality, hardwood floors, and natural light beaming throughout. The living room flows into the beautiful chefs' kitchen with shaker cabinetry, modern hardware & appliances, plenty of counterspace and a spacious seated island to enjoy a home cooked meal with additional separate dining. The master suite is separate from all others on the second level, with a sitting area and a master bath with separate shower and bathtub. The shower panel tower system with rainfall waterfall shower head and massage body jets, creates a soothing atmosphere and is the perfect space to unwind after a long day at work! Enjoy family & friends in the finished lower level with a bedroom and full bathroom. Perfect for in-laws and guests when visiting. Did I mentioned this home is situated on a double lot with well-manicured landscaping, privacy fence, easy access to the 2.5 car garage & enormous backyard? No need to book a venue. This is the perfect place to host & entertain family and friends in the summertime. There's so much more! Come see for yourself! Schedule your showing today!","1921","3","3","3",,"2","6970","2117","2","137500","2014-04-01","324999","for_sale"
"single_family","Welcome to this well-maintained 4 bedroom 2.5 bath colonial gem located in Beverly Hills one of Chicago's most desirable neighborhoods! The large lot features a beautifully maintained 2 story home ideal for a family or anyone who needs to live in Chicago while wanting the neighborhood suburban feel. The main level has hardwood flooring throughout, a large bright living room ideal for entertaining guests, a separate dining space for all of your dinner parties, and a kitchen with all stainless steel appliances, granite countertops with space for two stools plus a combined kitchen table sitting area. The kitchen opens up to a large backyard with a built-out deck area featuring a hot tub, above-ground pool with a sun deck, beautiful landscaping, and a separate storage shed. The 2nd floor has all 4 generous-sized bedrooms with hardwood flooring, the primary also having an enclosed porch area that is ideal for a walk-in closet. The spacious basement has ample room for entertaining, an office area, a full bath plus a laundry/storage area. The home is within walking distance to all that Western Ave has to offer, a Starbucks, the Metra station, and schools! To get a better view of the home please click on the 3D tour link and take a virtual walk-through!","1913","4","3","2","1","2","8500","1984","2",,,"624900","for_sale"
"single_family","Calling all nature lovers!!! Look no further. This extra-bright home is nestled right in the City but away from the hustle and bustle. Within this serene retreat nestled in the heart of the woods where nature's beauty surrounds you-- birds, deer, rabbits, wildlife--feel like you are on vacation all year round. Drive up into the circle driveway. Entire house was just painted. This four bedroom, 3.2 bath home has the WOW factor the minute you walk into the home. With four levels of living space, this is not your run of the mill home. This custom-built home offers large, open living space on the first floor with the most amazing expansive kitchen with cabinets galore, granite, stainless steel. Living room features fireplace, lots of windows overlooking nature at its best. Dining room features coffered ceiling with room for a large dining room table. Fireplaces, decks, gardens, pond, trees galore make one feel the coziness throughout. Four large bedrooms, windows galore (some newer), extra-large finished lower level, vaulted ceilings two outdoor decks, huge spotless garage. Primary bath has updated fixtures. This home is in Sauganash and minutes from grocery stores, expressway, park, walking/bike path, woods. Do not let this warm, inviting home get by you. YOU WILL BE AMAZED WITH THE UNIQUE FLOOR PLAN, LARGE ROOMS, AMAZING YARD, WOODS. One of a kind.","2000","4","5","3","2","2",,,"2","853000","2003-08-04","1150000","for_sale"
"single_family","Beautifully renovated raised ranch in Pill Hill Area. 2 bedrooms on the main level. Finished basement with 3rd bedroom and full bath. Gorgeous refinished hardwood floors. New kitchen cabinets with quartz counter tops and stainless steel appliances. Lower level family room, great for entertainment. New roof. New Furnace and A/C. Corner lot, walking distance from Advocate Trinity Hospital. Close to transportation. Broker owned. Schedule your showing today.","1957","2","2","2",,"2","3750","1800",,,,"249900","for_sale"
"single_family","This Single Family Roscoe Village gem packs a punch with 4beds plus a 1st floor office, 3.5 baths, three large bedrooms on the second level, including a true primary suite, and spacious yard. Located in Audubon elementary, this quintessential charmer greets you with a bright and happy living room complete with wood burning fireplace. First floor hosts a sizable office (or playroom), half bath, dining room, and open eat-in kitchen with freshly updated white shaker cabinets, glass tile backsplash and all stainless steel appliances. Walk directly out to a large deck, landscaped yard & two car garage. Three large bedrooms & two full baths occupy the second floor with vaulted ceilings and tons of light. Large second bedroom & sizable 3rd bedroom both with deep closets. Lovely primary suite with skylights, wall of closets, balcony & renovated en suite bath w/ dual vanity, custom lighting & walk-in shower. Well-appointed and renovated 2nd full bath with large tub & subway tile accents. Recently reconfigured lower level with 4th bedroom, full bath, rec room, laundry room & amazing storage. Walk to all the best restaurants and shops on Roscoe, Marianos, & more!","1898","3","4","3","1","2","3125",,"2","680000","2008-07-24","899000","for_sale"
"single_family","Nestled at the cul-de-sac's embrace, this extraordinary Sauganash residence stands as a testament to architectural magnificence, seamlessly merging luxury and nature. Thoughtfully expanded with multi-level additions in 2005, this 4 bedroom, 4 bath home is a harmonious blend of opulence and functionality. Beautiful custom eat-in kitchen with Wolf range, exhaust & refrigerator, a massive amount of cabinets and counter tops, breakfast bar & table space. The palatial master level includes a large sitting area, nursery room, enormous spa bath with steam shower, deep soaking tub & dual vanities, large walk in organized closet/dressing room with 2nd laundry area and a private deck. There are 3 additional bedrooms, a built out custom office, 2 fireplaces, 400 amp electric, 4 zoned HVAC units, CAT 6 wiring, whole house intercom, a sauna room, upper & lower level laundry. The lot size is 8391 square feet and the forest surrounds it panoramic views of the surrounding forest.","1963","4","4","4",,"2","8390","4632",,"875000","2019-05-29","1075000","for_sale"
"multi_family","Completely updated 2-flat in Chicago's Belmont Heights neighborhood. There are two new kitchens with white cabinets, granite counter tops and stainless steel appliances. Both bathrooms have been gut rehabbed and feature new bathtubs, tile, vanities and more. There are new light fixtures and fans throughout and the hardwood floors have been refinished. There are two new water heaters and new central A/C in unit 2. The common areas have been updated and there is a detached 2 car garage at the back of the yard. This is a Fannie Mae Homepath property.","1921","5","2","2",,"2","3660",,,"428000","2005-05-18","559000","for_sale"
"single_family","This stunning home in Old Irving is a truly exceptional find, with a beautifully designed interior boasting high-end features and finishes. With its prime location and impeccable craftsmanship, this property is undeniably a rare gem in the market. The inclusion of a legal apartment on the lower level offers versatility and additional income potential. This fully gut rehabbed, impressive home on a 50' x 173' lot has a wonderfully flexible floorplan. All brick construction, two full stories plus an entire lower level containing a legal one bedroom apartment as well as storage, laundry and utility areas. Enter into the welcoming foyer with seat/storage. Expansive living/dining combo with large woodburning fireplace flows into the kitchen with additional dining space. The designer kitchen has a huge island breakfast bar with prep sink and water filtration system. Professional Thermador range, and dishwasher, Subzero refrigerator and Subzero freezer as well as 42 cabinets, quartz countertops, pantry cabinets, espresso maker water hookup, and pot filler. A cozy family room adjoins the kitchen and French doors lead to a separate office with built-ins and two built-in desks. A powder room completes the main level. Two staircases provide access to the spacious second floor which includes four large bedrooms and two full baths. The expansive primary suite features a huge, custom built, walk in closet, and bathroom with double sink vanity, radiant floor heat and steam shower. There is a large bonus room perfect for a playroom, office, exercise, craft or media room and there is a large laundry room with side by side washer & dryer. The lower level includes a one bedroom, one bath legal apartment; perfect for guest quarters, au pair, or additional income. Additional utility, second laundry facilities cedar closet on the lower level. The expansive outdoor space adds to the charm, making it a perfect oasis in the city and includes custom cedar decking with pergola (2022), fire pit, sandbox, garden beds and large grassy side yard. Other improvements include owned solar panels (2020), 75 gallon HWH (2020), zoned GA/FA/CA, backflow check valve, separate garage workshop, 2.5 car garage wired for EV charging station and extensive loft storage. Walk to Metra, Blue Line el, bus stop, Kilbourn Park, coffee shop and restaurants (Smoque, Eris Brewery, La Villa, Malnati's). Don't miss this rare gem! Listing agent is related to seller.","1925","5","4","3","1","2","8650","4557","2",,,"1350000","for_sale"
"single_family","This charming English Tudor is located in North Beverly, where no two homes are alike. Welcome to an area where mid century aesthetic sets the style. This all brick home has been recently updated featuring: 5 bedrooms, 3.5 bathrooms and a 2 car detached garage with a long driveway. If you are looking for an updated and recently renovated historic home that offers a rich neighborhood history, and a small town suburban feeling, look no further. The home is beautifully landscaped with an oversized Chicago lot 55 x 179, an outdoor patio and garden perfect for when you have guests over. Enjoy the beautiful hardwood floor on the 1st floor, original hutch that has been updated with quartz countertop (2024), stained glass accented windows throughout, and a powder room for guests on 1st floor. Appreciate the flow of the home, as you are entertaining from the living room which features a beautiful marble gas fireplace to the family room encased in warm wood paneling to the breakfast room, which is bright and airy with views of the back patio and yard. The entire home was repainted in 2024. The kitchen was renovated in 2024 to include: all new white shaker cabinets, quartz countertops, stainless steel appliances and new luxury wood vinyl flooring that also covers the flooring within the family room. All the bedrooms are located on the 2nd floor where you will find 2 additional full bathrooms with newly resurfaced tubs and new toilets. The front 3 bedrooms have hardwood floors underneath the newly installed carpet (2024). The back 2 bedrooms on the 2nd floor are vinyl covered with newly installed luxury wood vinyl flooring. Recent updates include: tuckpointing (2023), garage (2023), electrical panel (2023), newly renovated kitchen (2024), bathrooms (2024) and front exterior stairs (2024). Property is located on the same block as Christ The King School. Enjoy prime shopping (eq. Evergreen Plaza), dining (eq. Giordano's Pizza), grocery stores (eq. Sam's Club, Jewel-Osco, Marianos, County Fair), The Beverly Hills Tennis Club, The Beverly Country Club, Beverly Arts Center, Morgan Park Sports Center and much more. Just minutes away from Beverly Hills metra station, highway I-57 and I-94, forest preserves and parks. Restricted showing dates and times. Showings starting Friday, 5/10 from 1-5pm and Saturday, 5/11 from 9am-1pm.","1929","5","4","3","1","2","9845","3489","2","237000","1997-01-15","674900","for_sale"
"single_family","Spectacular in presentation and scale, 1932 N. Burling St. is the most prestigious home on the Chicago real estate market today - a 25, 000-square-foot, custom mansion in the heart of Lincoln Park featuring six bedrooms, 11 bathrooms, and an unparalleled 177' x 149' parcel that spans more than eight city lots. From the limestone facade with detailed relief work and beautiful balconettes to its lavishly landscaped, private grounds and gardens that include an arbor, a hand-forged pavilion, decorative fountains, and a reflection pool, the exterior is a testament to classic European elegance and artisanship. Inside, a 25' x 25' entryway with inlaid, precision-cut marble from the French Pyrenees leads to a grand rotunda that features a statement-making, bronze and 22K gold repousse staircase. The main level continues with a game room, a media room, a project room, a sitting room, and two spacious guest bedroom suites that overlook the gardens. Plus, the media room, game room and sitting room all link to an inviting back terrace for alfresco entertaining of epic proportions. The second level presents a grand living room, a family room, a handsome library, a music room, a formal dining room, and a stunning chef's kitchen with custom cabinetry and professional-grade appliances, not to mention a highly impressive, 2000 square foot wraparound terrace with a professional outdoor kitchen, Kalamazoo grilling station, multiple lounge and dining options, and a wood-burning, outdoor fireplace. The third level reveals multiple, spacious secondary bedroom suites, one with a private study, and a breathtaking primary suite with a hand-carved, English marble fireplace, a custom dressing room, a refreshments center, and two spa-worthy, marble-clad ensuite baths. But there's more... The lower level features an impressive 5000 bottle wine cellar and tasting suite with 14' ceilings modeled after the Great Stable of Versailles, 3, 000 square feet of temperature-controlled storage, and the space for a future staff apartment and catering kitchen. Additional, design-forward details include 1, 000-pound, custom-designed bronze entry doors, Italian plaster ceiling work and reliefs, custom millwork including moments of gilded and French polished burled walnut, 22K gold and platinum hardware throughout, imported inlay stone, and carefully curated 18th-century light fixtures. Additional amenities include a three-car custom attached garage, a gated motor court for additional parking, a large laundry room with custom millwork, an all-floors elevator, a house manager's office, a security room, and an incredible HVAC and home automation control center. Perfect for large-scale entertaining yet intimate for everyday living by design, 1932 N. Burling St. is one-of-a-kind luxury living.","2010","6","11","7","4","3","25975","25000","3",,,"23500000","for_sale"
"multi_family","You will not find a newer multi unit on the market in all of West Englewood and this is not a building you will want to overlook! The building was built in 2010 and was thoughtfully developed to a the ideal pivot property where it was designed for either an owner occupant seeking cash flow or an investor looking to maximize cash flow! There are not many buildings in the market built as solid as this one! Each unit features hardwood floors throughout, large living room with eat in area and a breakfast bar in the modern kitchen, there are three bedrooms, 2 bathrooms in each unit and a fenced rear yard for secure parking. The main floor unit is ideal for an owner operator as the unit is duplexed into the basement which is partially finished. Live in that unit and offset your mortgage with the second floor rent or rent both out, either way it is a win-win! The building needs minor updates but has potential! Do not overlook the location, blocks from up and coming 63rd St, future development opportunities across the street, close to public transportation and much more!","2010","7","5","3","2",,"2900",,,"285000","2007-11-26","244400","for_sale"
"condos","Newer construction. Entire building is is building court, Building is sinking and city has appointed receiver to pay for repairs and bill owners. building has code violations. buyer of this unit to share in receiver repair costs whatever they amount to. Entire south side of building is sinking. Subject unit is not physically impacted by this. No Rentals! Must be cash sale only and meet with receiver or his appointees.","1997","3","2","1","1",,,,"4",,,"49900","for_sale"
"townhomes","Great Opportunity for a savvy investor. This two story townhouse presents an excellent rental or fix and flip project. The property is sold in its as is condition, the seller does not provide a survey, and taxes are prorated at 100 percent. This is a cash only opportunity and a Proof of Funds is required with all offers.","1962","2","1","1",,,,"1000","2",,,"34900","for_sale"
"single_family","Here's your big chance!! Beautiful location, close to Metra and shopping, outstanding curb appeal, and a blank slate inside to create your forever home! Features include fireplace, screened porch, and pretty lot. Most of the interior is gutted, so bring correct financing or cash. See Lead paint disclosure , property owned by HUD, insurability is , subject to appraisal, HUD homes are sold as is, equal housing opportunity, seller may contribute up to 3% for buyers closing costs. HUD makes no representations or warranties as to the condition of the property","1952","3","2","2",,"2","5924","1567","2",,,"215000","for_sale"
"single_family","Updates galore throughout this brick colonial on an oversized corner lot along a leafy residential street. The inviting sun-filled living room greets you with picturesque views of the large yard and an elegant fireplace featuring wainscoting and marble surround. The scenic views continue from the bay window in the dining room which opens to the stunning and smartly-updated kitchen with oversized island, quartz counters, custom soft close cabinets, pantry cabinet with pull-out shelving, and recessed lighting. Stylish GE Cafe refrigerator and stove, Bosch dishwasher and vent. Versatile family room off the kitchen offers additional living and entertaining space with vaulted ceiling and sliding doors that lead to the patio and attached garage access. This first floor also features a stunning updated powder room and convenient laundry. Upstairs is the primary bedroom with custom designed walk-in closet, plenty of storage and an updated spa-like bathroom with rainfall shower panel. A second recently updated full bathroom (converted from half bath) and two additional bedrooms on this level, as well. The basement's great recreation room includes a wet bar, new full bathroom and new wood look LVT flooring. Other notable updates include two HVAC units (2020), roof (2021), hardwood floors in kitchen and dining (2021), new attic insulation (2021), tuckpointing (2022), flood control and cleanout (2022), garage door motor (2024) and more. Ecobee thermostat. Exterior features include a patio, shed, and fully fenced in yard.","1950","3","4","3","1","1","7841","1904","2","500000","2020-08-04","825000","for_sale"
"single_family","5 bedrooms 2 bathrooms home for sale in move in condition","1912","5","2","2",,"2","3049","1700","2","110000","2022-06-06","219900","for_sale"
"single_family","Walk through the front gate and be welcomed by the enchanting garden that leads to the front door of 10218 S Prospect Ave. This sweet cottage is situated on a 175 foot deep, tree filled lot creating a private oasis. The home features hardwood floors throughout and an open concept living space ideal for hosting. Adding to the main floor is a separate office with views of the garden and large laundry room adjacent to the kitchen. Additional convenience is the attached 1.5 car garage. The second floor features a remodeled full bath and 3 bedrooms shaded by the beautiful evergreen and oak trees. This home is the essence of timeless character and charm with the potential to add your own ideas. Enjoy summers cooling off on the Graver Park splash pad. Walk to local coffee, icecream and clothing shops. Situated near great schools and public transportation. This is a must see for future homeowners or investors looking in the beautiful and historic Beverly community. New boiler (2022), Hot Water Tank (2022), newer sump pump, most windows replaced in 2014.","1905","3","2","2",,"1","6874","1360","2","74500","1994-06-28","249999","for_sale"
"single_family","Welcome to an epitome of luxury, where this home stands as a testament to the developer's exceptional craftsmanship, transforming a cherished 1958 property into a stunning masterpiece for 2024. Situated in a unique location in Chicago, this home offers the rare opportunity to dock directly at your residence. The main house exudes elegance, boasting floor-to-ceiling windows that offer breathtaking views of the Calumet River from nearly every room. Featuring 3 bedrooms, 2 and a half bathrooms, plus an office, the main house is ideal for entertaining, with high ceilings and a built-in bar. From the grand piano to the pool table and the built-in jacuzzi tub, guests may never want to leave. The primary bedroom wing is a sanctuary, complete with a custom closet housing a built-in washer and dryer, and a meticulously designed bathroom featuring a freestanding tub and an open-concept shower, inspired by French luxury, even including a bidet. Across the house, two additional bedrooms and a patio offer river views in the front and overlook the guest house in the back. The guest house is a valuable addition, featuring 2 bedrooms and a full bathroom on the main level, a fully remodeled kitchen with exquisite woodwork, and a finished basement with two bedrooms and a full bathroom, offering privacy and potential rental income of $2400 per month. -Property is sold As Is--","1958","5","5","4","1",,"11748","6000","2","430000","2022-02-01","649000","for_sale"
"single_family","Charming Brick Ranch in Norwood Park: Impeccably maintained and ideally located, this delightful home offers a well-designed layout with 3 bedrooms, featuring hardwood floors and additional hardwood under the carpet in the living room. It includes 1 full bath and 2 half baths, with one half bath easily convertible to a full bath. The residence showcases a full finished basement, complete with a versatile bonus room, suitable as a fourth bedroom or additional living space. Significant updates such as tuckpointing (2018), a new furnace (2024), and a hot water heater replacement (2019) Outdoors, the property boasts a sizeable yard and a two-car garage, adding to its overall appeal. Located close to expressways, public transportation, and top-rated schools, this home is the perfect blend of comfort and convenience, ready to welcome its new owners.","1956","3","3","1","2","2",,,"1","115000","1985-04-01","399900","for_sale"
"single_family","Welcome home to this beautifully rehabbed this big house on a wide lot. 2 level home with 4 bedrooms (huge master bedroom), 1 full baths, separate dining room update on plumbing, electrical, some windows, siding are new, granite countertops, elegant backsplash, custom made cabinets in the remodeled kitchen. Lots of storage throughout the home This house is tastefully finished with a new carpet and hardwood floors. This property also features a generously sized & fenced backyard and two car garage. Ideal location near expressways, new developments, restaurants and public transit. Close to shopping and more! Schedule your showing today!","1885","4","1","1",,"2",,"1100","2","30000","2023-07-11","250000","for_sale"
"single_family","Location ! Location! Logan Square opportunity , lots of new constructions!! property has 4 bedrooms, 3 on the upper level and full bath , 1st floor has one bedroom and 1/2 bath. living room -dining room combo, deck and nice back yard. property needs work , selling AS IS. Estate sale. Lots of potential ! lots of new homes in the Area !","1896","4","2","1","1","1","3500","3900","2","26000","1983-12-08","425000","for_sale"
"single_family","Beautiful custom built home 1 owner with plenty of living space for the whole family. This home features 3 big bedrooms, 2 full bathrooms, wood burning fireplace, large size family room, kitchen, dining room, living room this has it all , walking distance to Rowan Park, George Washington elementary and high school, East Side Plaza shopping center, bike trail dont miss your opportunity to own this amazing property.","1967","3","2","2",,"2","3125","2200","2",,,"319000","for_sale"
"single_family","Nestled in the heart of highly coveted East Lincoln Park, this stunning single-family is situated on a beautiful tree-lined street. As you step inside, you'll be greeted by the spaciousness and elegance of this home. The highly desirable floor plan has an inviting main level with a large living room with fireplace and defined dining area and beautiful open chef's kitchen with large island, quartz countertops, high-end appliances and family room that leads to a deck and garage roof deck with Trex and Cedar pergola perfect for grilling and entertaining. The second level has an oversized primary bedroom with cathedral ceilings, skylights, attached den/sitting/office area with gorgeous built-ins, two walk-in organized closets and spa-like bathroom with steam shower, double vanities and soaking tub. Two additional bedrooms, bathroom and side-by-side laundry complete this level. The lower level has radiant heat flooring, family room with fireplace, wet bar plus 4th bedroom. Other features include two car garage, professionally landscaped front yard, dual zoned HVAC and walnut stained hardwood floors. This Lincoln Park gem couldn't be better located. Steps to Alcott Elementary, St. Clement, St. James, multiple parks, zoo, lakefront, Trader Joe's, Target, Lincoln Commons, Nature Museum, restaurants, shops, transportation, Lake Shore Drive and more!","2001","4","4","3","1","2","2657","3896","2","1550000","2018-06-13","1875000","for_sale"
